funding_id,startup_id,funding_round,funding_amount_inr,funding_date
1,1,Series A,166372083.0,2019-06-13
2,2,Series D,146114595.0,2025-02-18
3,2,Series C,29562201.0,2023-12-16
4,2,Series D,189590850.0,2023-04-16
5,3,Series C,122419495.0,2025-04-10
6,3,Series B,112402831.0,2022-04-13
7,3,Series D,5828673.0,2025-06-01
8,4,Seed,68688296.0,2025-07-04
9,5,Seed,60973765.0,2021-07-22
10,5,Series D,139528061.0,2023-01-27
11,6,Series C,5398112.0,2021-10-20
12,6,Series D,197742510.0,2024-10-14
13,6,Series C,243653362.0,2022-08-12
14,7,Series D,227308173.0,2019-08-30
15,8,Series C,204623417.0,2024-01-11
16,8,Series A,156492520.0,2019-01-26
17,9,Series A,190028928.0,2024-12-15
18,9,Series C,9409398.0,2024-12-07
19,10,Series A,76794063.0,2018-09-05
20,10,Seed,115485103.0,2025-05-03
21,11,Series D,136016166.0,2015-08-11
22,11,Series C,77832510.0,2016-08-25
23,11,Series B,103849658.0,2015-06-21
24,11,Series B,224872281.0,2022-12-06
25,12,Seed,74552949.0,2022-03-23
26,12,Series B,169402725.0,2024-04-17
27,12,Series D,91079222.0,2022-08-02
28,13,Series A,138182826.0,2019-11-05
29,14,Series C,140303072.0,2022-10-26
30,14,Seed,152738704.0,2020-06-30
31,14,Series A,201371327.0,2018-11-29
32,14,Seed,162503570.0,2022-03-30
33,15,Series D,243790252.0,2021-01-29
34,15,Series A,176094391.0,2023-09-02
35,16,Series A,86187787.0,2016-01-25
36,17,Series A,107827567.0,2014-04-17
37,17,Series C,6952400.0,2023-08-29
38,17,Series B,122509540.0,2022-02-08
39,17,Series A,54048108.0,2016-07-20
40,18,Series D,197708636.0,2020-01-17
41,18,Series C,244896134.0,2022-06-10
42,19,Series B,157932390.0,2024-05-23
43,20,Seed,61949438.0,2020-07-02
44,20,Series A,29052349.0,2017-01-01
45,21,Series C,186535402.0,2018-02-01
46,21,Series D,30691742.0,2024-01-02
47,21,Series C,175797676.0,2025-08-19
48,21,Seed,29791214.0,2025-06-14
49,22,Seed,150548303.0,2022-04-22
50,23,Seed,170101138.0,2021-01-06
51,24,Seed,161934442.0,2024-02-14
52,25,Series B,35557816.0,2020-06-20
53,25,Series B,109296747.0,2023-01-09
54,25,Series C,28672896.0,2023-05-27
55,25,Series B,244655412.0,2021-01-09
