product_id,startup_id,sector,product_name,ai_technology,revenue_inr,launch_year
1,1,AI SaaS,CustomerAI,Computer Vision,48237109.0,2023
2,2,Healthcare,HealthAI,Robotics,11328477.0,2022
3,2,Healthcare,VitalSense,NLP,32667178.0,2025
4,3,Logistics,FleetPredict,Recommendation System,38522025.0,2024
5,4,EdTech,LearnSmart,Recommendation System,19957550.0,2023
6,5,EdTech,StudyAI,Predictive Analytics,16469276.0,2022
7,5,EdTech,TutorBot,Computer Vision,27092803.0,2025
8,6,Healthcare,HealthAI,Predictive Analytics,10041796.0,2024
9,6,Healthcare,DiagnosePro,NLP,28956867.0,2021
10,7,Healthcare,CareAI,Robotics,1740191.0,2019
11,7,Healthcare,VitalSense,Recommendation System,32842952.0,2021
12,8,Logistics,RouteAI,NLP,6188923.0,2025
13,8,Logistics,CargoAI,Computer Vision,25936407.0,2022
14,9,Retail,InventoryAI,Recommendation System,24824803.0,2023
15,10,Retail,SalesPredict,Predictive Analytics,14218038.0,2022
16,10,Retail,InventoryAI,Computer Vision,44080971.0,2023
17,11,Healthcare,CareAI,Predictive Analytics,12968164.0,2016
18,12,EdTech,TestPrep AI,Predictive Analytics,23228760.0,2024
19,12,EdTech,TestPrep AI,Computer Vision,11824466.0,2022
20,12,EdTech,EduAI Platform,Predictive Analytics,34358898.0,2022
21,13,Healthcare,MediBot,Robotics,22286563.0,2019
22,14,EdTech,TestPrep AI,Predictive Analytics,31471483.0,2023
23,14,EdTech,EduAI Platform,Recommendation System,40457851.0,2018
24,14,EdTech,LearnSmart,Predictive Analytics,45056037.0,2021
25,15,FinTech,CreditSense,NLP,18291087.0,2018
26,15,FinTech,WalletAI,Recommendation System,10950899.0,2020
27,16,Retail,StoreAI,Recommendation System,16264919.0,2015
28,16,Retail,SmartShop,Recommendation System,49351291.0,2018
29,16,Retail,SalesPredict,NLP,32745714.0,2022
30,17,Healthcare,MediBot,Recommendation System,18583282.0,2021
31,17,Healthcare,MediBot,Computer Vision,37729446.0,2016
32,18,AI SaaS,NLP Suite,Predictive Analytics,39744167.0,2020
33,19,AI SaaS,VisionAI,Robotics,35628387.0,2024
34,20,Healthcare,DiagnosePro,Robotics,32688346.0,2023
35,20,Healthcare,VitalSense,Recommendation System,42101029.0,2021
36,21,EdTech,TestPrep AI,Computer Vision,29429140.0,2020
37,21,EdTech,TutorBot,Predictive Analytics,38239492.0,2021
38,22,Retail,RetailBot,Recommendation System,43566809.0,2025
39,22,Retail,RetailBot,Predictive Analytics,15403106.0,2023
40,23,Retail,StoreAI,Robotics,3101310.0,2020
41,24,EdTech,LearnSmart,Recommendation System,11991584.0,2025
42,24,EdTech,TutorBot,Predictive Analytics,1938741.0,2025
43,25,EdTech,TestPrep AI,NLP,24655604.0,2016
44,25,EdTech,TutorBot,Recommendation System,33850247.0,2021
45,25,EdTech,LearnSmart,Robotics,27590290.0,2023
46,26,Agriculture,FarmSense,NLP,35210519.0,2018
47,26,Agriculture,FieldBot,Computer Vision,23338498.0,2014
48,26,Agriculture,AgroPredict,Predictive Analytics,19951636.0,2022
49,27,AI SaaS,CustomerAI,NLP,17372610.0,2022
50,27,AI SaaS,VisionAI,Computer Vision,4907796.0,2025
51,27,AI SaaS,VoiceAI,Computer Vision,13985963.0,2023
52,28,EdTech,LearnSmart,Robotics,12233347.0,2024
53,29,EdTech,EduAI Platform,Recommendation System,15653565.0,2020
54,30,Logistics,DeliveryBot,NLP,39057752.0,2024
55,30,Logistics,RouteAI,Recommendation System,25426853.0,2025
56,30,Logistics,FleetPredict,Recommendation System,20883081.0,2025
57,31,FinTech,CreditSense,Computer Vision,22310882.0,2023
58,31,FinTech,WalletAI,Robotics,21797201.0,2024
59,32,Retail,StoreAI,Predictive Analytics,4922919.0,2018
60,32,Retail,InventoryAI,Robotics,30481129.0,2025
61,33,Agriculture,FarmSense,Computer Vision,42379571.0,2023
62,33,Agriculture,CropAI,Robotics,47010259.0,2017
63,33,Agriculture,FieldBot,Computer Vision,16292956.0,2020
64,34,FinTech,LoanBot,Robotics,2416999.0,2021
65,34,FinTech,FinPredict,Recommendation System,25144157.0,2014
66,35,Agriculture,AgroPredict,Computer Vision,4083522.0,2023
67,35,Agriculture,FarmSense,Robotics,12043045.0,2019
68,36,EdTech,StudyAI,Predictive Analytics,13478153.0,2021
69,37,EdTech,LearnSmart,Recommendation System,37955972.0,2022
70,37,EdTech,StudyAI,Predictive Analytics,9458446.0,2024
71,38,AI SaaS,CustomerAI,Predictive Analytics,49754097.0,2021
72,39,AI SaaS,NLP Suite,Recommendation System,26275542.0,2023
73,39,AI SaaS,CustomerAI,Computer Vision,13837184.0,2023
74,39,AI SaaS,CustomerAI,Computer Vision,11505231.0,2020
75,40,EdTech,LearnSmart,Predictive Analytics,27079993.0,2022
76,41,Agriculture,FieldBot,Predictive Analytics,24616740.0,2022
77,41,Agriculture,CropAI,Computer Vision,38153602.0,2018
78,41,Agriculture,FarmSense,Recommendation System,48976370.0,2025
79,42,Retail,InventoryAI,Robotics,19971038.0,2019
80,42,Retail,InventoryAI,Robotics,16761136.0,2015
81,42,Retail,RetailBot,Predictive Analytics,23833166.0,2022
